# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
KP0859_HU_WP10,KP0922_AC_WP10,23149,23000,20769,20473,98.57,AC_WP10-HU_WP10
KP0845_AC_WP10,KP0970_HU_WP05,23739,22581,20940,20640,98.57,AC_WP10-HU_WP05
KP0818_HU_WP10,KP0951_HU_WP10,24762,24669,24051,23707.5,98.57,HU_WP10
KP0774_AC_WP10,KP0886_AC_WP10,21104,23853,19577,19297,98.57,AC_WP10
KP0764_HU_WP10,KP0845_AC_WP10,24770,23247,22637,22314,98.57,AC_WP10-HU_WP10
KP0439_HU_CA05,KP1003_HU_CA10,24742,25119,24481,24132,98.57,HU_CA05-HU_CA10
KP0429_HU_CA05,KP1039_HU_CA10,23842,25176,23638,23300,98.57,HU_CA05-HU_CA10
KP0427_HU_CA05,KP1033_HU_CA10,22824,25113,22557,22235.5,98.57,HU_CA05-HU_CA10
KP0421_HU_CA05,KP1159_UN_CA20,21785,24339,20744,20447.5,98.57,HU_CA05-UN_CA20
KP0421_HU_CA05,KP1153_UN_CA20,21494,24934,21048,20748,98.57,HU_CA05-UN_CA20
KP0416_HU_CA05,KP0429_HU_CA05,24017,23818,22455,22134.5,98.57,HU_CA05
KP0110_AC_SB10,KP0211_AC_SQ12,23940,23348,21908,21595.5,98.57,AC_SB10-AC_SQ12
KP0099_AC_SB10,KP0639_LM_SB20,23447,24890,22957,22629,98.57,AC_SB10-LM_SB20
KP1003_HU_CA10,KP1116_AC_CA20,25143,25105,24868,24509.5,98.56,AC_CA20-HU_CA10
KP0985_AC_WP05,KP0987_HU_WP05,24722,22932,22274,21953,98.56,AC_WP05-HU_WP05
KP0906_AC_WP10,KP0989_HU_WP05,23635,24698,22953,22623.5,98.56,AC_WP10-HU_WP05
KP0906_AC_WP10,KP0973_HU_WP05,24050,22542,21212,20905.5,98.56,AC_WP10-HU_WP05
KP0764_HU_WP10,KP1039_HU_CA10,24772,25176,24568,24213.5,98.56,HU_CA10-HU_WP10
KP0552_AC_WP20,KP0859_HU_WP10,25104,22474,22198,21877.5,98.56,AC_WP20-HU_WP10
KP0552_AC_WP20,KP0764_HU_WP10,25014,24738,24372,24021.5,98.56,AC_WP20-HU_WP10
KP0439_HU_CA05,KP1005_HU_CA10,24792,25199,24611,24256.5,98.56,HU_CA05-HU_CA10
KP0416_HU_CA05,KP0428_HU_CA05,24280,21309,20209,19917.5,98.56,HU_CA05
KP0099_AC_SB10,KP1074_AC_CA20,23552,24092,22264,21944.5,98.56,AC_CA20-AC_SB10
KP0092_AC_SB10,KP1074_AC_CA20,21182,24092,19894,19608.5,98.56,AC_CA20-AC_SB10
KP0973_HU_WP05,KP0979_HU_WP05,22642,24824,22086,21765.5,98.55,HU_WP05
KP0886_AC_WP10,KP0979_HU_WP05,23945,24824,23389,23050,98.55,AC_WP10-HU_WP05
KP0877_HU_WP10,KP0920_HU_WP10,24627,24693,23940,23593,98.55,HU_WP10
KP0818_HU_WP10,KP0979_HU_WP05,24687,24824,24131,23781.5,98.55,HU_WP05-HU_WP10
KP0783_HU_WP10,KP0987_HU_WP05,24029,22932,21581,21269,98.55,HU_WP05-HU_WP10
KP0774_AC_WP10,KP0959_HU_WP05,21465,22826,18911,18637,98.55,AC_WP10-HU_WP05
