Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0331_AC_WP20,WP20,WP,20,-2.5362974, 4.146889130, 2.106750356, 0.3302410582,Clust2,0.000010,0.999970,0.000010,0.000010
KP0332_AC_WP20,WP20,WP,20,-2.6884808, 4.263726348, 2.071987142, 0.1810913216,Clust2,0.000010,0.999970,0.000010,0.000010
KP0334_AC_WP20,WP20,WP,20,-2.6544691, 4.208485116, 2.126793503, 0.1999219123,Clust2,0.000010,0.999970,0.000010,0.000010
KP0335_AC_WP20,WP20,WP,20,-2.0128252, 4.005272708,-1.347173098,-0.0272940680,Clust2,0.000010,0.999970,0.000010,0.000010
KP0336_AC_WP20,WP20,WP,20,-2.1483246, 3.973461977,-1.226253087, 0.3954363259,Clust2,0.000010,0.999970,0.000010,0.000010
KP0337_AC_WP20,WP20,WP,20,-2.2629617, 3.964812357,-1.414113752, 0.4733426518,Clust2,0.000010,0.999970,0.000010,0.000010
KP0340_AC_WP20,WP20,WP,20,-1.5671187,-1.950079535,-0.786816668, 0.3622564241,Clust3,0.000010,0.000010,0.925187,0.074793
KP0346_AC_WP20,WP20,WP,20,-2.6157321, 1.519688792,-0.693652481,-0.4734298018,Clust2,0.000010,0.770656,0.229324,0.000010
KP0347_AC_WP20,WP20,WP,20,21.5101362, 0.362112075,-0.215391270,-0.1696931076,Clust1,0.999970,0.000010,0.000010,0.000010
KP0349_LM_WP20,WP20,WP,20,-2.2422101, 4.044550470, 1.342675944, 0.5295972220,Clust2,0.000010,0.999970,0.000010,0.000010
KP0352_AC_WP20,WP20,WP,20,-2.0784892, 3.970790322, 1.372807776, 0.7622607868,Clust2,0.000010,0.999970,0.000010,0.000010
KP0354_AC_WP20,WP20,WP,20,-2.3572057, 4.233026283, 1.277248561, 0.5113369309,Clust2,0.000010,0.999970,0.000010,0.000010
