Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,taxaQ.Clust1,taxaQ.Clust2
KP0485_AC_WP20,WP20,WP,20, 1.27177186, 0.87808233,-5.269884e-01, 0.221016217,Clust2,Clust2,0.000010,0.838850,0.061907,0.099233,0.000010,0.999990
KP0486_AC_WP20,WP20,WP,20,-8.31599104, 0.28036733, 1.669064e-02,-0.397185989,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0487_AC_WP20,WP20,WP,20, 0.78139302, 1.61677270,-1.163420e-01,-1.521630273,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0489_AC_WP20,WP20,WP,20, 1.36778742, 1.14486980,-5.147537e-02,-0.822443810,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0490_AC_WP20,WP20,WP,20, 1.60997187, 1.89485643,-1.101471e-02, 0.637246279,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0491_AC_WP20,WP20,WP,20, 0.89495631, 2.30403929, 5.261024e-01,-0.372184861,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0494_AC_WP20,WP20,WP,20, 1.54061740, 1.71143814,-1.827274e-02, 1.136134511,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0505_AC_WP20,WP20,WP,20, 1.00140532, 0.45762988,-4.833986e-01,-0.255780532,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0508_AC_WP20,WP20,WP,20, 1.62966492, 1.42447335, 3.598794e-01, 1.870547634,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0512_AC_WP20,WP20,WP,20, 1.50397033, 1.53086854, 3.559243e-01, 0.028121861,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0516_AC_WP20,WP20,WP,20, 1.23417445, 1.62073835,-1.512223e-01, 0.526954209,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0521_AC_WP20,WP20,WP,20, 1.43780569, 1.67394328,-6.611765e-03, 1.922991983,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0523_AC_WP20,WP20,WP,20, 0.88061422, 1.04262276, 6.483541e-01, 0.374500110,Clust2,Clust2,0.014305,0.888439,0.000010,0.097247,0.008407,0.991593
