Individuals,Clusters,Assignment,pop
KP0096_AC_SB10,Clust3,1e-05,SB10
KP0108_AC_SB10,Clust3,0.333301,SB10
KP0186_AC_SQ12,Clust3,0.234449,SQ12
KP0192_AC_SQ12,Clust3,0.072674,SQ12
KP0203_AC_SQ12,Clust3,1e-05,SQ12
KP0207_LM_SQ12,Clust3,0.357748,SQ12
KP0249_LM_SQ20,Clust3,0.220541,SQ20
KP0252_LM_SQ20,Clust3,0.315994,SQ20
KP0253_LM_SQ20,Clust3,1e-05,SQ20
KP0254_LM_SQ20,Clust3,1e-05,SQ20
KP0282_LM_SQ20,Clust3,1e-05,SQ20
KP0285_LM_SQ20,Clust3,0.056847,SQ20
KP0290_LM_WP20,Clust3,0.30946,WP20
KP0293_LM_WP20,Clust3,1e-05,WP20
KP0308_LM_WP20,Clust3,1e-05,WP20
KP0318_LM_WP20,Clust3,1e-05,WP20
KP0319_LM_WP20,Clust3,1e-05,WP20
KP0322_LM_WP20,Clust3,0.008108,WP20
KP0328_LM_WP20,Clust3,0.030968,WP20
KP0330_LM_WP20,Clust3,1e-05,WP20
KP0341_LM_WP20,Clust3,0.99996,WP20
KP0342_LM_WP20,Clust3,0.99996,WP20
KP0343_LM_WP20,Clust3,0.99996,WP20
KP0345_LM_WP20,Clust3,0.99996,WP20
KP0348_LM_WP20,Clust3,0.164696,WP20
KP0350_LM_WP20,Clust3,0.380741,WP20
KP0375_LM_WP20,Clust3,0.285181,WP20
KP0377_LM_WP20,Clust3,1e-05,WP20
KP0380_LM_WP20,Clust3,0.117113,WP20
KP0400_LM_WP20,Clust3,1e-05,WP20
KP0459_LM_WP20,Clust3,0.001488,WP20
KP0473_LM_WP20,Clust3,1e-05,WP20
KP0482_LM_WP20,Clust3,0.095962,WP20
KP0529_LM_WP20,Clust3,1e-05,WP20
KP0547_LM_WP20,Clust3,1e-05,WP20
KP0548_LM_WP20,Clust3,1e-05,WP20
KP0551_LM_WP20,Clust3,0.371575,WP20
KP0557_AC_WP20,Clust3,0.99996,WP20
KP0558_LM_WP20,Clust3,0.098578,WP20
KP0570_LM_WP20,Clust3,0.217559,WP20
KP0585_LM_WP20,Clust3,0.258997,WP20
KP0588_LM_WP20,Clust3,1e-05,WP20
KP0599_LM_SB20,Clust3,0.146518,SB20
KP0605_AC_SB20,Clust3,0.353517,SB20
KP0609_AC_SB20,Clust3,0.137522,SB20
KP0613_LM_SB20,Clust3,0.138233,SB20
KP0614_LM_SB20,Clust3,1e-05,SB20
KP0616_LM_SB20,Clust3,1e-05,SB20
KP0617_LM_SB20,Clust3,0.157124,SB20
KP0618_LM_SB20,Clust3,1.2e-05,SB20
KP0620_LM_SB20,Clust3,1e-05,SB20
KP0629_LM_SB20,Clust3,0.172665,SB20
KP0631_LM_SB20,Clust3,0.202874,SB20
KP0634_LM_SB20,Clust3,0.411223,SB20
KP0637_LM_SB20,Clust3,1e-05,SB20
KP0650_LM_SB20,Clust3,0.361465,SB20
KP0657_LM_SB20,Clust3,1e-05,SB20
KP0659_LM_SB20,Clust3,1e-05,SB20
KP0664_LM_SB20,Clust3,1e-05,SB20
KP0666_LM_SB20,Clust3,1e-05,SB20
KP0670_LM_SB20,Clust3,1e-05,SB20
KP0671_AC_SB20,Clust3,0.316172,SB20
KP0676_LM_SB20,Clust3,1e-05,SB20
KP0677_LM_SB20,Clust3,0.060093,SB20
KP0680_LM_SB20,Clust3,0.60521,SB20
KP0682_LM_SB20,Clust3,0.325026,SB20
KP0694_LM_SB20,Clust3,0.147109,SB20
KP0706_LM_SB20,Clust3,0.229177,SB20
KP0707_LM_SB20,Clust3,0.162461,SB20
KP0716_LM_SB20,Clust3,1e-05,SB20
KP0718_LM_SB20,Clust3,1e-05,SB20
KP0723_NA_NANA,Clust3,1e-05,SB20
KP0731_LM_SB20,Clust3,1e-05,SB20
KP0732_LM_SB20,Clust3,0.31816,SB20
KP0765_AC_WP10,Clust3,0.440945,WP10
KP0795_LM_WP10,Clust3,0.161761,WP10
KP0851_AC_WP10,Clust3,1e-05,WP10
KP0870_LM_WP10,Clust3,1e-05,WP10
KP0893_LM_WP10,Clust3,0.024499,WP10
KP1043_LM_CA10,Clust3,1e-05,CA10
KP1058_LM_CA20,Clust3,1e-05,CA20
KP1059_LM_CA20,Clust3,1e-05,CA20
KP1061_LM_CA20,Clust3,1e-05,CA20
KP1064_LM_CA20,Clust3,1e-05,CA20
KP1065_LM_CA20,Clust3,1e-05,CA20
KP1093_LM_CA20,Clust3,1e-05,CA20
KP1094_LM_CA20,Clust3,1e-05,CA20
KP1095_HU_CA20,Clust3,0.38653,CA20
KP1101_LM_CA20,Clust3,1e-05,CA20
KP1103_LM_CA20,Clust3,0.242049,CA20
KP1118_LM_CA20,Clust3,0.4979,CA20
KP1119_LM_CA20,Clust3,0.162731,CA20
KP1123_LM_CA20,Clust3,1e-05,CA20
KP1124_AC_CA20,Clust3,0.99996,CA20
KP1126_LM_CA20,Clust3,1e-05,CA20
KP1133_LM_CA20,Clust3,0.126658,CA20
KP1144_LM_CA20,Clust3,0.170937,CA20
KP1160_UN_CA20,Clust3,0.085238,CA20
KP1164_LM_CA20,Clust3,1e-05,CA20
KP1166_LM_CA20,Clust3,1e-05,CA20
KP1167_LM_CA20,Clust3,1e-05,CA20
KX0330_LM_WP20,Clust3,0.011914,WP20
KX0657_LM_SB20,Clust3,1e-05,SB20
KY0578_AC_WP20,Clust3,1e-05,WP20
NR4671_L1_CS50,Clust3,1e-05,NA
NR5050_L2_CS15,Clust3,0.245102,NA
NR5053_L2_CS15,Clust3,0.189759,NA
NR5242_L1_CK50,Clust3,1e-05,NA
NR5533_L2_CR15,Clust3,0.272784,NA
NR5534_L1_CR15,Clust3,1e-05,NA
KP0086_LM_SB10,Clust4,1e-05,SB10
KP0096_AC_SB10,Clust4,0.99996,SB10
KP0108_AC_SB10,Clust4,1e-05,SB10
KP0186_AC_SQ12,Clust4,1e-05,SQ12
KP0192_AC_SQ12,Clust4,1e-05,SQ12
KP0203_AC_SQ12,Clust4,1e-05,SQ12
KP0207_LM_SQ12,Clust4,1e-05,SQ12
KP0249_LM_SQ20,Clust4,1e-05,SQ20
KP0252_LM_SQ20,Clust4,1e-05,SQ20
KP0253_LM_SQ20,Clust4,0.99996,SQ20
KP0254_LM_SQ20,Clust4,0.99996,SQ20
KP0282_LM_SQ20,Clust4,1e-05,SQ20
KP0285_LM_SQ20,Clust4,0.943123,SQ20
KP0290_LM_WP20,Clust4,1e-05,WP20
KP0293_LM_WP20,Clust4,1e-05,WP20
KP0308_LM_WP20,Clust4,1e-05,WP20
KP0318_LM_WP20,Clust4,1e-05,WP20
KP0319_LM_WP20,Clust4,0.004089,WP20
KP0322_LM_WP20,Clust4,0.928691,WP20
KP0328_LM_WP20,Clust4,0.969002,WP20
KP0330_LM_WP20,Clust4,0.99996,WP20
KP0341_LM_WP20,Clust4,1e-05,WP20
KP0342_LM_WP20,Clust4,1e-05,WP20
KP0343_LM_WP20,Clust4,1e-05,WP20
KP0345_LM_WP20,Clust4,1e-05,WP20
KP0348_LM_WP20,Clust4,0.018629,WP20
KP0350_LM_WP20,Clust4,1e-05,WP20
KP0375_LM_WP20,Clust4,1e-05,WP20
KP0377_LM_WP20,Clust4,0.99996,WP20
KP0380_LM_WP20,Clust4,1e-05,WP20
KP0400_LM_WP20,Clust4,0.99996,WP20
KP0459_LM_WP20,Clust4,1e-05,WP20
KP0473_LM_WP20,Clust4,0.99996,WP20
KP0482_LM_WP20,Clust4,1e-05,WP20
KP0529_LM_WP20,Clust4,1e-05,WP20
KP0547_LM_WP20,Clust4,0.99996,WP20
KP0548_LM_WP20,Clust4,0.99996,WP20
KP0551_LM_WP20,Clust4,1e-05,WP20
KP0557_AC_WP20,Clust4,1e-05,WP20
KP0558_LM_WP20,Clust4,1e-05,WP20
KP0570_LM_WP20,Clust4,0.015974,WP20
KP0585_LM_WP20,Clust4,1e-05,WP20
KP0588_LM_WP20,Clust4,0.944755,WP20
KP0599_LM_SB20,Clust4,1e-05,SB20
KP0605_AC_SB20,Clust4,1e-05,SB20
KP0609_AC_SB20,Clust4,1e-05,SB20
KP0613_LM_SB20,Clust4,1e-05,SB20
KP0614_LM_SB20,Clust4,1e-05,SB20
KP0616_LM_SB20,Clust4,1e-05,SB20
KP0617_LM_SB20,Clust4,1e-05,SB20
KP0618_LM_SB20,Clust4,0.999958,SB20
KP0620_LM_SB20,Clust4,0.054909,SB20
KP0629_LM_SB20,Clust4,0.010132,SB20
KP0631_LM_SB20,Clust4,1e-05,SB20
KP0634_LM_SB20,Clust4,1e-05,SB20
KP0637_LM_SB20,Clust4,0.99996,SB20
KP0650_LM_SB20,Clust4,1e-05,SB20
KP0657_LM_SB20,Clust4,1e-05,SB20
KP0659_LM_SB20,Clust4,1e-05,SB20
KP0664_LM_SB20,Clust4,0.99996,SB20
KP0666_LM_SB20,Clust4,0.978977,SB20
KP0670_LM_SB20,Clust4,0.465707,SB20
KP0671_AC_SB20,Clust4,1e-05,SB20
KP0676_LM_SB20,Clust4,0.99996,SB20
KP0677_LM_SB20,Clust4,1e-05,SB20
KP0680_LM_SB20,Clust4,1e-05,SB20
KP0682_LM_SB20,Clust4,0.02711,SB20
KP0694_LM_SB20,Clust4,0.058168,SB20
KP0706_LM_SB20,Clust4,1e-05,SB20
KP0707_LM_SB20,Clust4,1e-05,SB20
KP0716_LM_SB20,Clust4,0.99996,SB20
KP0718_LM_SB20,Clust4,1e-05,SB20
KP0723_NA_NANA,Clust4,1e-05,SB20
KP0731_LM_SB20,Clust4,0.984137,SB20
KP0732_LM_SB20,Clust4,1e-05,SB20
KP0765_AC_WP10,Clust4,1e-05,WP10
KP0795_LM_WP10,Clust4,1e-05,WP10
KP0851_AC_WP10,Clust4,0.99996,WP10
KP0870_LM_WP10,Clust4,0.999212,WP10
KP0893_LM_WP10,Clust4,1e-05,WP10
KP1043_LM_CA10,Clust4,0.99996,CA10
KP1058_LM_CA20,Clust4,0.99996,CA20
KP1059_LM_CA20,Clust4,1e-05,CA20
KP1061_LM_CA20,Clust4,1e-05,CA20
KP1064_LM_CA20,Clust4,0.99996,CA20
KP1065_LM_CA20,Clust4,0.99996,CA20
KP1093_LM_CA20,Clust4,0.803234,CA20
KP1094_LM_CA20,Clust4,0.937431,CA20
KP1095_HU_CA20,Clust4,1e-05,CA20
KP1101_LM_CA20,Clust4,0.99996,CA20
KP1103_LM_CA20,Clust4,0.065661,CA20
KP1118_LM_CA20,Clust4,1e-05,CA20
KP1119_LM_CA20,Clust4,1e-05,CA20
KP1123_LM_CA20,Clust4,0.99996,CA20
KP1124_AC_CA20,Clust4,1e-05,CA20
KP1126_LM_CA20,Clust4,0.99995,CA20
KP1133_LM_CA20,Clust4,1e-05,CA20
KP1144_LM_CA20,Clust4,1e-05,CA20
KP1160_UN_CA20,Clust4,1e-05,CA20
