Individuals,Clusters,Assignment,pop
KP1151_AC_CA20,Clust1,1e-05,CA20
KP1156_UN_CA20,Clust1,1e-05,CA20
KX0743_AC_WP10,Clust1,1e-05,WP10
KP0046_AC_SB10,Clust2,0.898715,SB10
KP0050_AC_SB10,Clust2,0.998968,SB10
KP0055_AC_SB10,Clust2,0.871367,SB10
KP0057_AC_SB10,Clust2,0.912217,SB10
KP0058_AC_SB10,Clust2,0.74476,SB10
KP0060_AC_SB10,Clust2,0.99997,SB10
KP0061_AC_SB10,Clust2,0.99059,SB10
KP0072_AC_SB10,Clust2,0.99997,SB10
KP0074_AC_SB10,Clust2,0.955771,SB10
KP0078_AC_SB10,Clust2,0.99997,SB10
KP0081_AC_SB10,Clust2,0.99997,SB10
KP0089_AC_SB10,Clust2,0.99997,SB10
KP0095_AC_SB10,Clust2,0.937867,SB10
KP0100_AC_SB10,Clust2,0.900584,SB10
KP0101_AC_SB10,Clust2,0.901795,SB10
KP0102_AC_SB10,Clust2,0.99997,SB10
KP0104_AC_SB10,Clust2,0.96664,SB10
KP0109_LM_SB10,Clust2,0.79191,SB10
KP0112_AC_SB10,Clust2,0.970559,SB10
KP0116_AC_SB10,Clust2,0.99997,SB10
KP0120_AC_SB10,Clust2,0.99997,SB10
KP0121_AC_SB10,Clust2,0.993012,SB10
KP0122_AC_SB10,Clust2,0.99997,SB10
KP0123_AC_SB10,Clust2,0.974041,SB10
KP0125_AC_SB10,Clust2,0.99997,SB10
KP0127_AC_SB10,Clust2,0.99997,SB10
KP0129_AC_SB10,Clust2,0.914554,SB10
KP0131_HU_SB05,Clust2,1e-05,SB05
KP0153_AC_SQ12,Clust2,0.968198,SQ12
KP0158_AC_SQ12,Clust2,0.911565,SQ12
KP0162_AC_SQ12,Clust2,0.99997,SQ12
KP0167_AC_SQ12,Clust2,0.821048,SQ12
KP0168_AC_SQ12,Clust2,0.980229,SQ12
KP0171_AC_SQ12,Clust2,0.99997,SQ12
KP0172_AC_SQ12,Clust2,1e-05,SQ12
