Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6,Clusters,Taxa,taxaQ.Clust1,taxaQ.Clust2,taxaQ.Clust3,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0241_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.31175968,-2.1179928, 3.581217e+00, 0.1574338539, 1.194560e-02,-3.533793e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0242_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.41194120,-2.3648135,-1.784827e-01,-0.0118742206,-6.802358e-02, 3.673746e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0243_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.07703283,-2.0860804, 3.089117e+00, 0.0426792939, 8.019134e-02,-1.953714e-01,Clust1,Clust1,0.995125,0.000010,0.004865,0.995124,0.000010,0.004856,0.000010
KP0247_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.10936523,-2.0007528, 3.232850e+00, 0.0866088224, 1.113914e-01,-3.880146e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0249_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-11.17472324,-2.1191093,-7.908495e-02, 0.2118185845,-1.252640e+00, 9.544680e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0251_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.39892066,-2.3064902,-3.388128e-01, 0.0071544327, 8.929016e-02, 2.651192e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0252_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-11.28944261,-2.0102987, 4.688757e-02, 0.0574489266,-9.759061e-01, 1.649279e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0254_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-11.45766551,-2.1161949, 4.940716e-02,-0.0194470003, 1.802000e+00,-4.216710e-03,Clust2,Clust2,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010
KP0255_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.20171278,-2.1677652, 3.341854e+00, 0.1484835995, 2.083052e-02,-2.812885e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0257_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.03174295,-1.0619060,-5.747918e-01, 0.1712483210, 1.781475e-02, 1.444901e+00,Clust1,Clust1,0.885431,0.000010,0.114559,0.885427,0.000010,0.114553,0.000010
KP0259_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.38155537,-2.2568195, 2.949412e+00, 0.1199547494, 1.366386e-02, 2.658638e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
