,Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6
KP0259_AC_SQ20,KP0259_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.38155537088219,-2.2568194712851,2.94941175708964,0.119954749426382,0.0136638578549833,0.265863763275795
KP0261_AC_SQ20,KP0261_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.34495740633243,-2.33082490807868,-0.581753488625515,0.00813666760151019,-0.029390688397047,1.36821139129801
KP0269_AC_SQ20,KP0269_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.35385082146629,-2.28140568161058,0.180155288013012,-0.00516285891810953,-0.046899357268048,0.623014149811146
KP0272_AC_SQ20,KP0272_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.43092241185546,-2.34975002870074,-0.144885419706692,-0.00428349319930175,-0.0339001985482796,0.546954409352099
KP0279_AC_SQ20,KP0279_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.32275068450942,-2.41687739114424,-0.158670997275416,-0.00525978566864808,0.0226298783140781,0.681595070683753
KP0282_LM_SQ20,KP0282_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-10.6494397263993,-1.79212268632598,0.12763578663569,0.0918418050820203,-1.66501406142833,0.0223518756462515
KP0284_AC_SQ20,KP0284_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.5844229513056,-2.52910753131175,-0.341028239469107,-0.00583187208397877,-0.039907471953968,0.502920240180158
KP0285_LM_SQ20,KP0285_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-10.5594738433589,-1.77973031415557,0.0183749643216597,0.00100997608677527,2.14934215340898,0.0650077578008463
KP0289_AC_WP20,KP0289_AC_WP20,AA,AC_WP20,WP,WP20,20,3.12698971467439,-2.2882977722759,-0.701731857217663,-0.0346715532774315,0.0549653219627589,-0.536001875058148
KP0290_LM_WP20,KP0290_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.3159334711487,-2.10300200375968,-0.0671074801885024,0.00371473429651777,-0.408517248337466,-0.00588424990378163
KP0291_AC_WP20,KP0291_AC_WP20,AA,AC_WP20,WP,WP20,20,3.17400556138496,-2.24651528382557,-0.250391902280066,0.00557178100881809,0.104687828770537,-0.723973381435649
KP0292_AC_WP20,KP0292_AC_WP20,AA,AC_WP20,WP,WP20,20,2.88672789139548,-2.24395862222005,0.0350917580807658,0.0457781656108021,-0.0670696749798332,-0.98397878771974
KP0293_LM_WP20,KP0293_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.4281503878147,-1.90264184966839,-0.0375239115837217,-0.199412982564418,-0.982639636521696,0.04856356066036
KP0294_AC_WP20,KP0294_AC_WP20,AA,AC_WP20,WP,WP20,20,3.32515358778929,-2.41377179755865,-0.397649039174686,0.00210651574644667,0.0213095930738894,-0.497252061520675
KP0296_AC_WP20,KP0296_AC_WP20,AA,AC_WP20,WP,WP20,20,3.3668590616635,-2.36812037553601,-0.373416555495186,-0.00341376593204759,-0.0344259018548636,-0.692081228438971
KP0301_AC_WP20,KP0301_AC_WP20,AA,AC_WP20,WP,WP20,20,3.26314735505074,-2.31240164684314,-0.301658662394638,-0.0357543105313564,0.025119284957557,-0.390200834873039
KP0304_AC_WP20,KP0304_AC_WP20,AA,AC_WP20,WP,WP20,20,3.4106824327875,-2.36410876318276,-0.432999349604928,-0.0487055013137407,0.0121832997517514,-0.534580494565415
