Individual Sample Species Site Loc Depth x y z clone clone_group Clusters
KP0964_HU_WP05 KP0964 HU WP05 WP 5 1.26102190053662 0.230927120621732 -4.96424665074689 hu.mlg non-clone AH3
KP0965_AC_WP05 KP0965 AC WP05 WP 5 1.47850771055136 0.172964991424986 -4.95973946813661 ac.mlg non-clone AA2
KP0966_AC_WP05 KP0966 AC WP05 WP 5 1.45026299419174 0 -5.05214006152277 ac.mlg non-clone AA2
KP0968_HU_WP05 KP0968 HU WP05 WP 5 3.92784704764153 0.56196277348463 -5.20570977241394 hu.mlg non-clone AH1
KP0970_HU_WP05 KP0970 HU WP05 WP 5 4.65348023456824 1.45164074459999 -5.27287699923776 hu.mlg non-clone AH1
KP0971_HU_WP05 KP0971 HU WP05 WP 5 4.6551737323337 1.60566377787768 -5.22948231260595 hu.mlg non-clone AH3
KP0972_HU_WP05 KP0972 HU WP05 WP 5 4.4114796196163 1.6368075663426 -5.26042911401142 hu.mlg non-clone AH2
KP0973_HU_WP05 KP0973 HU WP05 WP 5 6.69707303314674 1.60117777180483 -5.35357052365766 hu.mlg non-clone AH2
KP0974_AC_WP05 KP0974 AC WP05 WP 5 9.37912214686411 2.37185901668046 -4.94234010365292 ac.mlg non-clone AA2
KP0977_AC_WP05 KP0977 AC WP05 WP 5 9.12871929777438 2.63565128742793 -5.13707083514851 ac.mlg non-clone AA2
KP0978_AC_WP05 KP0978 AC WP05 WP 5 12.1457760120601 1.33506021673682 -5.22190695651972 ac.mlg non-clone AA2
KP0979_HU_WP05 KP0979 HU WP05 WP 5 18.4711197613706 3.94462911271491 -4.7805824683662 hu.mlg non-clone AH2
KP0980_HU_WP05 KP0980 HU WP05 WP 5 15.8883540029114 3.17154763956487 -4.80927085583826 hu.mlg non-clone AH2
KP0981_AC_WP05 KP0981 AC WP05 WP 5 15.8807466951243 2.97859663382267 -4.89567160696823 ac.mlg non-clone AA2
KP0982_AC_WP05 KP0982 AC WP05 WP 5 16.4897905106013 2.71735055658962 -4.91498959773911 ac.mlg non-clone AA2
KP0983_AC_WP05 KP0983 AC WP05 WP 5 19.380472308369 3.31596104470498 -4.63783132942166 clone 80_AA2 AA2
KP0984_HU_WP05 KP0984 HU WP05 WP 5 19.678149254673 3.35460854474866 -4.67269133484175 hu.mlg non-clone AH3
KP0986_HU_WP05 KP0986 HU WP05 WP 5 21.542048473278 2.8290399808692 -4.73656817249321 hu.mlg non-clone AH2
KP0987_HU_WP05 KP0987 HU WP05 WP 5 22.6622141005017 2.61804680321834 -4.6593725696294 hu.mlg non-clone AH2
KP0739_HU_WP10 KP0739 HU WP10 WP 10 5.86340292007513 -29.2811435445647 -9.12758228436501 hu.mlg non-clone AH1
KP0740_HU_WP10 KP0740 HU WP10 WP 10 6.16562589813702 -28.3832675351312 -9.36676741585396 clone 40_AH1 AH1
