,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0104_AC_SB10,KP0104_AC_SB10,SB10,SB,10-12,-0.61750361390222,-2.33578739795952,0.0349421369280858,-0.705329294763633
KP0105_AC_SB10,KP0105_AC_SB10,SB10,SB,10-12,-1.69276076487492,-2.58563034021131,0.18062416391732,0.463949700310343
KP0109_LM_SB10,KP0109_LM_SB10,SB10,SB,10-12,-1.78770709189496,-2.51343285705785,-0.41491879395348,-0.0713441224398507
KP0112_AC_SB10,KP0112_AC_SB10,SB10,SB,10-12,-1.67507890414985,-2.25090919848323,-0.732623016099297,1.03819855105522
KP0115_AC_SB10,KP0115_AC_SB10,SB10,SB,10-12,-1.60708900056088,-2.2997042661158,-1.05639053532061,1.21513365402815
KP0116_AC_SB10,KP0116_AC_SB10,SB10,SB,10-12,-1.18042759066688,-3.53878704422928,0.158827593720086,2.13312316217738
KP0117_AC_SB10,KP0117_AC_SB10,SB10,SB,10-12,-1.66540945446775,-2.1922622007749,-0.523182700958784,1.43045793077297
KP0118_AC_SB10,KP0118_AC_SB10,SB10,SB,10-12,-1.41631070704426,-2.49347261425936,-0.909802630404513,-0.952974813393778
KP0119_AC_SB10,KP0119_AC_SB10,SB10,SB,10-12,-1.77806648640444,-2.50959286261208,-0.572643977070124,-1.30483176450694
KP0120_AC_SB10,KP0120_AC_SB10,SB10,SB,10-12,-1.74329828586695,-2.40296263571751,-0.507621623831253,-1.41936267530491
KP0121_AC_SB10,KP0121_AC_SB10,SB10,SB,10-12,-0.489910182575223,-2.9350117024189,0.224662474808646,0.619465726421558
KP0122_AC_SB10,KP0122_AC_SB10,SB10,SB,10-12,-1.6312716113775,-2.81464997533818,-0.410990393761136,0.84967184174445
KP0123_AC_SB10,KP0123_AC_SB10,SB10,SB,10-12,-1.48665202745347,-2.23345178723664,-0.207235058837504,-0.283621498011106
KP0125_AC_SB10,KP0125_AC_SB10,SB10,SB,10-12,-1.06465529758738,-2.78039206614473,0.338028618720482,0.703292386343115
KP0127_AC_SB10,KP0127_AC_SB10,SB10,SB,10-12,-1.79617103772781,-2.1086278585308,-0.449169684023323,1.45691281582956
KP0129_AC_SB10,KP0129_AC_SB10,SB10,SB,10-12,-1.20836945188514,-2.07088619589375,-0.156913110948477,0.0626771060759886
KP0131_HU_SB05,KP0131_HU_SB05,SB05,SB,5,-2.04048008222624,1.79509282392091,-0.202076633626118,0.254999821435643
KP0151_AC_SQ12,KP0151_AC_SQ12,SQ12,SQ,10-12,-1.7797849071287,-3.68986892474559,-0.774355177710352,1.30350254554209
KP0152_AC_SQ12,KP0152_AC_SQ12,SQ12,SQ,10-12,-1.78638099147531,-3.70243304324861,-0.655707380049247,1.33742380314042
KP0153_AC_SQ12,KP0153_AC_SQ12,SQ12,SQ,10-12,-1.35308725328602,-2.86168209840171,1.2271635235692,0.471924649921406
KP0154_AC_SQ12,KP0154_AC_SQ12,SQ12,SQ,10-12,-1.0948803223248,-3.87566453672387,0.40794878388047,2.22626023090993
KP0156_AC_SQ12,KP0156_AC_SQ12,SQ12,SQ,10-12,-1.18555258160451,-3.84141922073416,0.453015143070645,2.1804217553659
KP0157_AC_SQ12,KP0157_AC_SQ12,SQ12,SQ,10-12,-1.10358433606182,-3.96803300800961,0.443522704783346,2.20012840757466
KP0158_AC_SQ12,KP0158_AC_SQ12,SQ12,SQ,10-12,-1.25306607571246,-3.90119576180803,0.51654659930728,2.27085732194368
KP0160_AC_SQ12,KP0160_AC_SQ12,SQ12,SQ,10-12,-2.04493912425392,-3.42739601848549,0.416560774757644,2.09019437796159
KP0162_AC_SQ12,KP0162_AC_SQ12,SQ12,SQ,10-12,-1.80413394628574,-3.42313444309653,0.63244428610803,2.62922910931947
KP0166_AC_SQ12,KP0166_AC_SQ12,SQ12,SQ,10-12,-1.75475156694635,-2.92222656404352,1.41217992308066,2.23997869890365
KP0167_AC_SQ12,KP0167_AC_SQ12,SQ12,SQ,10-12,-1.56437170341346,-2.6176964262773,0.942404427721114,1.99771969356022
KP0168_AC_SQ12,KP0168_AC_SQ12,SQ12,SQ,10-12,-1.88266389320357,-2.98009523180298,1.59210750669021,2.24562176699208
KP0169_AC_SQ12,KP0169_AC_SQ12,SQ12,SQ,10-12,-1.85286781015133,-2.92356959216353,1.58806576623221,2.34321861997937
KP0171_AC_SQ12,KP0171_AC_SQ12,SQ12,SQ,10-12,-1.80717819782462,-3.72665405306056,-0.645394487337341,1.33918698870741
KP0172_AC_SQ12,KP0172_AC_SQ12,SQ12,SQ,10-12,-1.15859833394174,-3.67421642400278,11.3542752273702,-5.30950480928681
KP0173_AC_SQ12,KP0173_AC_SQ12,SQ12,SQ,10-12,-2.12350453612953,-3.88011598980443,11.9890035308655,-4.94367556325771
KP0174_AC_SQ12,KP0174_AC_SQ12,SQ12,SQ,10-12,-1.93791396756036,-3.96630917728995,12.0300183303795,-4.58368178089162
KP0175_AC_SQ12,KP0175_AC_SQ12,SQ12,SQ,10-12,-1.92311784554098,-3.99172030917085,12.0521240399169,-4.55753532269186
KP0176_AC_SQ12,KP0176_AC_SQ12,SQ12,SQ,10-12,-1.88056587104353,-3.98843274026322,12.0856195379887,-4.46622516975381
KP0177_AC_SQ12,KP0177_AC_SQ12,SQ12,SQ,10-12,-2.12608982312802,-3.89971386294584,11.9435271139116,-4.99063517919009
KP0181_AC_SQ12,KP0181_AC_SQ12,SQ12,SQ,10-12,-1.72706428863606,-2.18598079443501,-0.764841335918341,0.376146912088925
KP0182_AC_SQ12,KP0182_AC_SQ12,SQ12,SQ,10-12,-2.11850409264823,-3.96371102879905,11.9509364916643,-5.05852721020899
KP0185_AC_SQ12,KP0185_AC_SQ12,SQ12,SQ,10-12,-2.12046079438383,-3.9253472673496,11.9822456152576,-4.950922953256
KP0187_AC_SQ12,KP0187_AC_SQ12,SQ12,SQ,10-12,-2.03212246658086,-3.44683685378974,0.483991463998042,2.0467311947649
KP0188_AC_SQ12,KP0188_AC_SQ12,SQ12,SQ,10-12,-1.89072269477776,-2.70309743918088,0.348786744614469,1.85024358489059
KP0189_AC_SQ12,KP0189_AC_SQ12,SQ12,SQ,10-12,-1.68539943741549,-2.05245423685711,0.181065239919955,-0.421594643147541
KP0190_AC_SQ12,KP0190_AC_SQ12,SQ12,SQ,10-12,-1.62547620518471,-2.16966002854131,-0.0657880391929115,1.06572346472884
KP0193_AC_SQ12,KP0193_AC_SQ12,SQ12,SQ,10-12,-0.744405789904728,-2.83659442551479,0.104372534592666,1.21498061274391
KP0196_AC_SQ12,KP0196_AC_SQ12,SQ12,SQ,10-12,-0.553476668969638,-3.35284186090706,0.36878933530058,4.28870828517243
KP0197_AC_SQ12,KP0197_AC_SQ12,SQ12,SQ,10-12,-0.610898643739724,-3.54027802768218,0.223266959132574,4.52061222845795
KP0198_AC_SQ12,KP0198_AC_SQ12,SQ12,SQ,10-12,-0.600521852416207,-3.53957693321902,0.196695292597476,4.54500085195382
KP0199_AC_SQ12,KP0199_AC_SQ12,SQ12,SQ,10-12,-0.723648669333153,-3.57391175936181,0.160089931833751,4.421536726581
KP0200_AC_SQ12,KP0200_AC_SQ12,SQ12,SQ,10-12,-0.603403749367684,-3.53487789488419,0.262345250699135,4.49351221743335
KP0201_AC_SQ12,KP0201_AC_SQ12,SQ12,SQ,10-12,-0.590590863017246,-3.51273866730882,0.243058421638013,4.46590651198428
KP0202_AC_SQ12,KP0202_AC_SQ12,SQ12,SQ,10-12,-1.16214580113749,-3.52552091423053,-0.9234153787214,1.43340170394452
KP0204_AC_SQ12,KP0204_AC_SQ12,SQ12,SQ,10-12,-1.07890504123595,-3.40395275436692,-0.694481823494093,1.5327527118299
KP0208_AC_SQ12,KP0208_AC_SQ12,SQ12,SQ,10-12,-1.71831411843573,-2.65563557788759,0.560229853696551,2.32235515002662
KP0209_AC_SQ12,KP0209_AC_SQ12,SQ12,SQ,10-12,-1.93805552180534,-2.67163949272319,0.612091299428047,2.47209150150542
KP0212_AC_SQ20,KP0212_AC_SQ20,SQ20,SQ,20,-0.975238115479425,-3.45156017450601,0.98136278869117,2.394382829375
KP0213_AC_SQ20,KP0213_AC_SQ20,SQ20,SQ,20,-1.02163147549409,-3.65173491031139,0.455373868836545,2.39056499909647
KP0214_AC_SQ20,KP0214_AC_SQ20,SQ20,SQ,20,-0.992830713503502,-3.47334676838704,0.988592488291705,2.27701301701329
KP0216_AC_SQ20,KP0216_AC_SQ20,SQ20,SQ,20,-0.887241029172985,-3.69097600028155,0.42759842336878,2.51570068653392
KP0217_AC_SQ20,KP0217_AC_SQ20,SQ20,SQ,20,-1.17534941324267,-3.27618406284559,0.925159035174742,2.18461745513473
KP0218_AC_SQ20,KP0218_AC_SQ20,SQ20,SQ,20,16.5303186176347,0.188602781796182,-0.000731263034021729,0.174392124918091
KP0220_AC_SQ20,KP0220_AC_SQ20,SQ20,SQ,20,-0.650472756181699,-2.849014828368,0.356161435846386,1.75052064366181
KP0221_AC_SQ20,KP0221_AC_SQ20,SQ20,SQ,20,-0.654393242109517,-2.82928889567083,0.315483437986636,1.66216463552807
KP0222_AC_SQ20,KP0222_AC_SQ20,SQ20,SQ,20,-0.692408080949464,-1.1350981342161,-0.293714605543166,-0.0672491770635873
KP0225_AC_SQ20,KP0225_AC_SQ20,SQ20,SQ,20,-1.20108835621058,-1.5979933232771,-0.0105851024293661,0.285198043011845
KP0227_AC_SQ20,KP0227_AC_SQ20,SQ20,SQ,20,-0.80530373817217,-1.44004982063024,0.041723623751623,0.307872987119036
KP0229_AC_SQ20,KP0229_AC_SQ20,SQ20,SQ,20,-0.499379250690996,-2.13034378418039,0.139213455680916,0.654255065217438
KP0233_AC_SQ20,KP0233_AC_SQ20,SQ20,SQ,20,-0.987909699114148,-0.514208337732582,-0.0533636351975689,-0.201010574781031
