,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0468_AC_WP20,KP0468_AC_WP20,WP20,WP,20,1.72359806336659,1.37594543449722,0.923760227918496,1.08715086437384
KP0470_AC_WP20,KP0470_AC_WP20,WP20,WP,20,1.11063391557503,1.06929173751776,0.307509425601991,-0.0908639110132825
KP0471_AC_WP20,KP0471_AC_WP20,WP20,WP,20,1.60710306890885,1.02566696594266,0.437606252559443,0.5575743907676
KP0477_AC_WP20,KP0477_AC_WP20,WP20,WP,20,0.787339070483429,0.600011827786172,0.563698115053909,-0.800066810807497
KP0479_AC_WP20,KP0479_AC_WP20,WP20,WP,20,0.835420707594449,1.38855631125634,-0.4962886164424,-0.0940178248159413
KP0481_AC_WP20,KP0481_AC_WP20,WP20,WP,20,1.51903165824133,1.84893141646545,0.0598875435421084,-0.250373673690986
KP0484_AC_WP20,KP0484_AC_WP20,WP20,WP,20,0.795393284674582,1.34405905275857,-0.390784106938404,-0.13499434736397
KP0485_AC_WP20,KP0485_AC_WP20,WP20,WP,20,1.27177185938902,0.878082330553773,-0.526988352466712,0.22101621719207
KP0486_AC_WP20,KP0486_AC_WP20,WP20,WP,20,-8.31599104225228,0.280367333948009,0.0166906414699946,-0.397185988807847
KP0487_AC_WP20,KP0487_AC_WP20,WP20,WP,20,0.78139301635929,1.61677269719769,-0.116342004737783,-1.52163027258031
KP0489_AC_WP20,KP0489_AC_WP20,WP20,WP,20,1.36778741933527,1.14486979615831,-0.0514753693521946,-0.822443809533955
KP0490_AC_WP20,KP0490_AC_WP20,WP20,WP,20,1.60997187476687,1.89485643082005,-0.0110147072213791,0.637246279332156
KP0491_AC_WP20,KP0491_AC_WP20,WP20,WP,20,0.894956305183322,2.30403928538249,0.526102363689915,-0.372184860916604
KP0494_AC_WP20,KP0494_AC_WP20,WP20,WP,20,1.54061740093885,1.71143814230785,-0.0182727404984061,1.13613451138424
KP0505_AC_WP20,KP0505_AC_WP20,WP20,WP,20,1.00140532406729,0.45762987608255,-0.483398592022061,-0.255780531943965
KP0508_AC_WP20,KP0508_AC_WP20,WP20,WP,20,1.62966491709572,1.42447335174032,0.359879359855564,1.87054763386491
KP0512_AC_WP20,KP0512_AC_WP20,WP20,WP,20,1.50397033226781,1.53086854426023,0.355924292215429,0.0281218610693487
KP0516_AC_WP20,KP0516_AC_WP20,WP20,WP,20,1.23417444738694,1.62073834718378,-0.151222294079183,0.526954208707819
KP0521_AC_WP20,KP0521_AC_WP20,WP20,WP,20,1.43780569107543,1.67394328198416,-0.00661176459151471,1.92299198285072
KP0523_AC_WP20,KP0523_AC_WP20,WP20,WP,20,0.880614224107356,1.0426227600085,0.648354068460489,0.374500110471672
KP0530_AC_WP20,KP0530_AC_WP20,WP20,WP,20,0.880464897407433,1.4571269814132,0.0147411786055321,0.969656067561394
KP0532_AC_WP20,KP0532_AC_WP20,WP20,WP,20,0.982028332177863,1.64159026172466,-0.641934341533859,-1.14925187152469
KP0533_AC_WP20,KP0533_AC_WP20,WP20,WP,20,1.04734955441393,1.69916198677132,-0.0772660529344965,-0.445262328554882
KP0535_AC_WP20,KP0535_AC_WP20,WP20,WP,20,0.975641804432205,1.78178768840907,-0.210552712666163,0.351542103095302
KP0536_AC_WP20,KP0536_AC_WP20,WP20,WP,20,1.25279405556466,1.52733894098511,-0.412109282824961,-0.687206476117196
KP0537_AC_WP20,KP0537_AC_WP20,WP20,WP,20,0.456929086294015,1.75687310751323,-0.14112485104108,-0.976825521653876
KP0545_AC_WP20,KP0545_AC_WP20,WP20,WP,20,1.10940491933801,1.81438221474796,0.126756038886467,-0.713331612535748
KP0546_AC_WP20,KP0546_AC_WP20,WP20,WP,20,0.935977277923723,0.963637110647276,-0.0545235038977679,1.29432786549073
KP0554_AC_WP20,KP0554_AC_WP20,WP20,WP,20,1.63196114646748,0.969487155266514,0.835159468505635,0.355779452223176
KP0559_AC_WP20,KP0559_AC_WP20,WP20,WP,20,-6.87026939467286,0.241301705462561,-0.0223106317144159,0.0828665535830213
KP0563_AC_WP20,KP0563_AC_WP20,WP20,WP,20,-8.72548091807148,0.332789122846691,0.13883132428113,-0.165795916781074
KP0568_AC_WP20,KP0568_AC_WP20,WP20,WP,20,1.24824904812524,1.19996657653586,-0.445629822880764,0.839492752870061
KP0569_AC_WP20,KP0569_AC_WP20,WP20,WP,20,-9.24793996592025,0.472777263571535,0.0715411410247749,0.0602930288580246
KP0571_AC_WP20,KP0571_AC_WP20,WP20,WP,20,1.13688755763574,1.51479929945027,-0.43035226918249,0.362757425522011
KP0572_AC_WP20,KP0572_AC_WP20,WP20,WP,20,1.65286525321148,1.49037010933759,0.141529364577217,0.198376055979262
KP0575_AC_WP20,KP0575_AC_WP20,WP20,WP,20,-8.89748301644262,0.173819168709535,0.0636813853769483,-0.0987127223480948
KP0576_AC_WP20,KP0576_AC_WP20,WP20,WP,20,-8.77921064560884,0.0160433358712894,-0.162787911050643,-0.527300420500106
KP0579_AC_WP20,KP0579_AC_WP20,WP20,WP,20,1.10170431314233,0.973418436590736,-0.0223596328781084,-0.498461332040979
KP0581_AC_WP20,KP0581_AC_WP20,WP20,WP,20,-8.89823583368219,0.0367471886061551,-0.148489804292866,0.0186740905903365
KP0584_AC_WP20,KP0584_AC_WP20,WP20,WP,20,-8.97328112204384,0.112704384917598,-0.139539685774753,0.199674392343471
KP0590_AC_WP20,KP0590_AC_WP20,WP20,WP,20,-8.57937348698599,0.480636078671501,0.301191450737456,0.230578009609718
KP0593_AC_SB20,KP0593_AC_SB20,SB20,SB,20,0.608618501269766,-0.904257412118097,-0.658307221711805,-1.047475038921
KP0596_AC_SB20,KP0596_AC_SB20,SB20,SB,20,1.23842691113876,-1.10454655522444,-0.244508599842446,-0.247097163982356
KP0600_AC_SB20,KP0600_AC_SB20,SB20,SB,20,0.745596025243085,-1.46629406816685,-1.0486189724091,-1.52143171421262
KP0604_AC_SB20,KP0604_AC_SB20,SB20,SB,20,0.818246354739434,-1.4845618467221,-1.52548656323169,0.123129201838202
KP0607_AC_SB20,KP0607_AC_SB20,SB20,SB,20,-8.31022104458688,0.567825584537044,0.196475045147712,0.303018945671115
KP0608_AC_SB20,KP0608_AC_SB20,SB20,SB,20,1.20266980570762,1.30078648926817,0.219315156104184,-0.389887262875554
KP0611_LM_SB20,KP0611_LM_SB20,SB20,SB,20,0.576341463781609,-1.56137904190474,-1.11788564583769,0.187893711069384
KP0625_AC_SB20,KP0625_AC_SB20,SB20,SB,20,0.737285203190581,-1.49850815990932,-0.852352447153496,-1.6308139589982
KP0626_AC_SB20,KP0626_AC_SB20,SB20,SB,20,0.731653148849694,-1.30321668690447,-0.66614246994176,0.292159847262223
KP0636_AC_SB20,KP0636_AC_SB20,SB20,SB,20,0.0428285750118361,-1.26862826554746,-1.0177177011,-0.509641133536253
KP0638_AC_SB20,KP0638_AC_SB20,SB20,SB,20,0.436384104411516,-0.932848333251698,-0.816246401927544,0.569555923281466
KP0640_AC_SB20,KP0640_AC_SB20,SB20,SB,20,1.54470474994503,-2.02114949148971,-0.741311664934791,-0.84476948076064
